,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
2,2,164,audi,four,sedan,fwd,front,99.8,0.8716683119447186,0.9232914923291492,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950.0,9.791666666666666,7.833333333333333,Medium,False,True,True,False
3,2,164,audi,four,sedan,4wd,front,99.4,0.8716683119447186,0.9260808926080893,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450.0,13.055555555555555,10.681818181818182,Medium,False,True,True,False
5,1,158,audi,four,sedan,fwd,front,105.8,0.9511352418558736,0.99581589958159,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710.0,12.368421052631579,9.4,Medium,False,True,True,False
7,1,158,audi,four,sedan,fwd,front,105.8,0.9511352418558736,0.99581589958159,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875.0,13.823529411764707,11.75,Medium,False,True,False,True
8,2,192,bmw,two,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430.0,10.217391304347826,8.10344827586207,Medium,False,True,True,False
9,0,192,bmw,four,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925.0,10.217391304347826,8.10344827586207,Medium,False,True,True,False
10,0,188,bmw,two,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970.0,11.19047619047619,8.392857142857142,Medium,False,True,True,False
11,0,188,bmw,four,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105.0,11.19047619047619,8.392857142857142,Medium,False,True,True,False
16,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.6964461994076999,0.8410041841004183,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151.0,5.0,4.433962264150943,Low,False,True,True,False
17,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.7694965449160909,0.8870292887029289,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295.0,6.184210526315789,5.465116279069767,Low,False,True,True,False
18,0,81,chevrolet,four,sedan,fwd,front,94.5,0.7838104639684107,0.8870292887029289,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575.0,6.184210526315789,5.465116279069767,Low,False,True,True,False
19,1,118,dodge,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572.0,6.351351351351352,5.7317073170731705,Low,False,True,True,False
20,1,118,dodge,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377.0,7.580645161290323,6.184210526315789,Low,False,True,True,False
21,1,118,dodge,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957.0,9.791666666666666,7.833333333333333,Medium,False,True,False,True
